customer_id,age,gender,region,product_category,purchase_date,units_purchased,unit_price,purchase_amount,return,payment_method,high_value
1,34,Other,West,Sports,2024-05-10,4,237.99,953.65,0,PayPal,1
2,54,Male,South,Books,2024-11-10,3,23.69,67.01,0,Gift Card,0
3,42,Male,West,Sports,2022-05-02,1,141.38,143.86,1,Credit Card,0
4,55,Other,West,Home & Kitchen,2023-04-12,1,132.31,135.43,1,Debit Card,0
5,29,Female,West,Books,2022-11-27,3,5.37,18.18,0,Gift Card,0
6,40,Male,East,Electronics,2022-03-29,1,323.64,328.32,0,Gift Card,1
7,59,Male,West,Electronics,2024-05-21,4,506.27,2028.36,0,Credit Card,1
8,39,Male,East,Sports,2022-05-11,5,159.1,799.52,0,Debit Card,1
9,38,Other,North,Clothing,2024-02-09,1,33.16,37.5,0,Credit Card,0
10,44,Male,North,Home & Kitchen,2022-12-10,4,258.73,1037.92,0,PayPal,1
11,48,Other,South,Home & Kitchen,2024-03-16,2,173.39,348.53,0,PayPal,1
12,23,Other,South,Sports,2023-01-21,4,214.39,852.61,0,Gift Card,1
13,44,Other,East,Home & Kitchen,2024-08-13,5,186.66,932.96,1,Debit Card,1
14,57,Male,North,Electronics,2022-10-04,4,401.86,1608.15,0,PayPal,1
15,51,Other,South,Sports,2023-04-05,3,48.68,144.09,0,PayPal,0
16,29,Female,South,Electronics,2022-01-22,5,225.31,1124.74,0,PayPal,1
17,62,Male,South,Books,2022-09-10,2,58.46,121.53,0,PayPal,0
18,24,Male,North,Books,2024-01-18,3,17.57,56.62,0,Credit Card,0
19,27,Male,South,Clothing,2024-05-06,4,147.07,591.77,0,Gift Card,1
20,62,Male,North,Home & Kitchen,2023-04-20,5,173.62,867.14,0,Gift Card,1
21,34,Male,West,Books,2024-12-18,2,12.47,20.07,0,PayPal,0
22,43,Other,West,Home & Kitchen,2023-05-26,3,56.81,166.24,0,Gift Card,0
23,38,Other,West,Electronics,2023-12-01,2,243.99,486.1,0,Gift Card,1
24,45,Male,East,Sports,2024-09-02,4,233.27,928.23,0,Gift Card,1
25,63,Other,North,Books,2022-07-09,2,27.78,50.73,1,Gift Card,0
26,19,Male,South,Sports,2024-08-15,1,113.97,118.14,0,Credit Card,0
27,60,Other,East,Books,2023-11-18,3,22.23,68.74,1,PayPal,0
28,18,Other,East,Home & Kitchen,2024-08-15,2,69.71,137.5,0,Debit Card,0
29,53,Other,West,Books,2023-07-17,4,31.83,123.65,1,Credit Card,0
30,43,Other,North,Books,2024-04-11,4,12.15,48.73,0,Gift Card,0
31,46,Female,South,Electronics,2023-10-09,2,525.97,1046.99,0,PayPal,1
32,38,Male,East,Clothing,2022-01-21,4,68.15,276.99,0,PayPal,1
33,28,Female,South,Electronics,2024-04-20,5,318.66,1592.46,0,PayPal,1
34,57,Other,West,Sports,2022-06-16,5,131.65,657.28,0,PayPal,1
35,28,Female,North,Home & Kitchen,2023-01-23,5,149.91,748.48,0,Gift Card,1
36,53,Male,South,Home & Kitchen,2023-08-24,1,298.61,294.3,0,PayPal,1
37,56,Male,South,Books,2022-11-12,2,35.0,71.38,0,Debit Card,0
38,57,Other,East,Home & Kitchen,2022-01-14,1,53.81,56.14,0,Debit Card,0
39,52,Female,South,Clothing,2022-08-30,4,98.89,397.34,0,PayPal,1
40,51,Female,North,Clothing,2024-02-16,1,39.71,36.09,0,Gift Card,0
41,64,Female,North,Books,2023-07-19,4,6.7,27.59,0,Debit Card,0
42,41,Male,South,Books,2024-06-16,4,58.39,234.26,0,Debit Card,1
43,39,Male,East,Sports,2022-04-02,3,199.05,600.82,0,Debit Card,1
44,22,Female,East,Books,2024-08-13,5,58.91,293.32,0,Credit Card,1
